property_id,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,condition,has_pool,distance_to_cbd_km,distance_to_station_km,sale_method,sale_date,days_on_market,agent_description,sale_price
P001,Mosman,2088,Apartment,3,1,1.0,,132.0,1963.0,Original,False,7.4,1.79,Private treaty,2026-06-22,75.0,"Immaculate apartment in a well-maintained, established building. 3 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Retains original features and awaits a cosmetic update. Walk to Spit Junction village, cafes and city buses.",1800000
P002,Blacktown,2148,House,3,3,2.0,523.0,117.0,1954.0,Needs work,False,33.5,2.01,Private treaty,2024-11-22,54.0,"Spacious family home offering flexible living zones. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. Convenient to shops, childcare and express city trains.",685000
P003,Blacktown,2148,Apartment,1,1,1.0,,,1985.0,Good,False,34.9,0.77,Private treaty,2026-07-11,16.0,"Positioned in a boutique security block with lift access. 1 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Convenient to shops, childcare and express city trains.",475000
P004,Mosman,2088,Apartment,1,2,1.0,,72.0,,Original,False,8.1,1.35,Auction,2026-04-13,23.0,"Bright, generously proportioned apartment with a full-width balcony. 1 bedrooms, 2 bathrooms. Commanding harbour views from every principal room. Retains original features and awaits a cosmetic update. Walk to Spit Junction village, cafes and city buses.",1715000
P005,Mosman,2088,House,3,3,2.0,804.0,152.0,1922.0,Renovated,True,9.1,0.34,Private treaty,2026-02-27,38.0,"Spacious family home offering flexible living zones. 3 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Recently renovated with quality finishes. Walk to Spit Junction village, cafes and city buses.",6100000
P006,Mosman,2088,Apartment,1,3,0.0,,81.0,1935.0,Renovated,False,7.9,1.54,Auction,2024-05-04,,"Top-floor apartment offering privacy and an open outlook. 1 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. An easy stroll to Balmoral Beach and the ferry.",1145000
P007,Parramatta,2150,Apartment,2,2,1.0,,90.0,,New,False,21.0,0.95,Auction,2026-07-15,11.0,"Top-floor apartment offering privacy and an open outlook. 2 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Brand new and never lived in, with full builder's warranty. An easy walk to Church Street dining and the river foreshore.",750000
P008,Mosman,2088,House,4,3,1.0,785.0,116.0,1994.0,Original,False,7.9,0.15,Auction,2025-06-28,,"Deceased estate offered to the market for the first time in decades. 4 bedrooms, 3 bathrooms. An absolute waterfront position with deep water access and jetty. Retains original features and awaits a cosmetic update. DA approved plans available for a duplex development (STCA). An easy stroll to Balmoral Beach and the ferry.",9420000
P009,Blacktown,2148,Apartment,2,1,1.0,,73.0,1976.0,Renovated,False,34.0,0.46,Private treaty,2024-08-20,17.0,"Immaculate apartment in a well-maintained, established building. 2 bedrooms, 1 bathrooms. A private, leafy outlook from the rear living area. Renovated throughout with a designer kitchen and new bathrooms. Close to local schools, parklands and the M7 on-ramp.",445000
P010,Parramatta,2150,House,5,2,2.0,407.0,138.0,2010.0,Good,False,22.5,0.54,Auction,2025-05-10,,"Solid brick home with scope to add value over time. 5 bedrooms, 2 bathrooms. A private, leafy outlook from the rear living area. Well maintained and presented in good order throughout. Moments to Parramatta Square, the light rail and the station.",1535000
P011,Mosman,2088,House,4,3,3.0,464.0,228.0,1913.0,Needs work,True,7.2,3.83,Auction,2026-06-15,27.0,"Immaculately presented family home in a quiet pocket. 4 bedrooms, 3 bathrooms. A private, leafy outlook from the rear living area. Requires full renovation throughout - bring your builder. Close to quality schools, Mosman village and the harbour foreshore.",5970000
P012,Parramatta,2150,Apartment,2,1,1.0,,88.0,1957.0,Needs work,False,22.8,0.16,Private treaty,2025-10-08,33.0,"Positioned in a boutique security block with lift access. 2 bedrooms, 1 bathrooms. Leafy district views from the main living zone. Requires full renovation throughout - bring your builder. An easy walk to Church Street dining and the river foreshore.",465000
P013,Parramatta,2150,Apartment,3,3,1.0,,96.0,1999.0,Renovated,False,21.8,0.68,Private treaty,2024-07-25,107.0,"Immaculate apartment in a well-maintained, established building. 3 bedrooms, 3 bathrooms. Elevated with pleasant district outlook. Renovated throughout with a designer kitchen and new bathrooms. Moments to Parramatta Square, the light rail and the station.",865000
